scientific_name,latitude,longitude,observation_count
"Michelia champaca L.",7.3,80.6,2
"Syzygium assimile Thwaites",7.3,80.6,2
"Canarium zeylanicum (Retz.) Blume",7.3,80.6,2
"Graptophyllum pictum (L.) Griff.",7.3,80.6,2
"Osbeckia wightiana Benth. ex Wight & Arn.",7.6,80.7,2
"Toddalia asiatica (L.) Lam.",7.3,80.6,2
"Nymphaea lotus L.",6.9,81.7,2
"Glycosmis pentaphylla (Retz.) Corrêa",7.3,80.6,2
"Syzygium zeylanicum (L.) DC.",8.1,80.7,2
"Bhesa ceylanica (Arn. ex Thwaites) Ding Hou",6.1,81.1,2
"Euphorbia pulcherrima Willd. ex Klotzsch",7,80.8,2
"Vinca major L.",6.9,80.8,2
"Nymphaea nouchali var. caerulea (Savigny) Verdc.",8,80.9,2
"Shorea stipularis Thwaites",6.7,80.6,2
"Falcataria moluccana (Miq.) Barneby & J.W.Grimes",7.3,80.6,2
"Calamus ovoideus Thwaites ex Trimen",6.4,80.5,2
"Premna L.",7.3,80.6,2
"Premna L.",8.3,80.2,2
"Chaetocarpus castanocarpus (Roxb.) Thwaites",7,80.4,2
"Chaetocarpus castanocarpus (Roxb.) Thwaites",7.6,80.7,2
"Alseodaphne semecarpifolia Nees",7.3,80.6,2
"Alseodaphne semecarpifolia Nees",7.4,80.9,2
"Abelmoschus esculentus (L.) Moench",7.1,80.6,2
"Abelmoschus esculentus (L.) Moench",7.9,80.2,2
"Abelmoschus esculentus (L.) Moench",7.1,81,2
"Abelmoschus esculentus (L.) Moench",8,81,2
"Abelmoschus esculentus (L.) Moench",8.1,80.5,2
"Abelmoschus esculentus (L.) Moench",6.6,80.1,2
"Diospyros insignis Thwaites",7.4,80.5,2
"Cactaceae",7.3,80.6,2
"Humbertiella Hochr.",8.3,80.1,2
"Verbena bonariensis L.",7,80.8,2
"Cyathea walkerae Hook.",7.9,80.8,2
"Zingiber zerumbet (L.) Roscoe ex Sm.",6.4,80.4,2
"Napoleonaea imperialis P.Beauv.",7.3,80.6,2
"Lobelia nicotianifolia Roth",7,80.8,2
"Lobelia nicotianifolia Roth",7.1,80.7,2
"Momordica dioica Roxb. ex Willd.",7.7,80.7,2
"Barleria lupulina Lindl.",7.3,80.6,2
"Robiquetia brevifolia (Lindl.) Garay",6.8,80.5,2
"Ipomoea nil (L.) Roth",9.7,80,2
"Albizia lebbeck (L.) Benth.",7.3,80.6,2
"Albizia lebbeck (L.) Benth.",7.9,80.7,2
"Gymnema sylvestre (Retz.) R.Br. ex Sm.",7.3,80.6,2
"Bombax ceiba L.",7.3,80.6,2
"Cycas L.",7.2,80,2
"Cymbopogon nardus (L.) Rendle",7.3,80.8,2
"Calamus thwaitesii Becc.",7.6,80.7,2
"Areca triandra Roxb. ex Buch.-Ham.",7.3,80.6,2
"Pothos hookeri Schott",7,80.4,2
"Cryptostegia madagascariensis Bojer",6.1,81.1,2
"Chloris barbata Sw.",6.1,81.1,2
"Euphorbia prostrata Aiton",7.3,80.6,2
"Cyathocalyx zeylanicus Champ. ex Hook.f. & Thomson",7,80.4,2
"Cyathocalyx zeylanicus Champ. ex Hook.f. & Thomson",7.7,80.7,2
"Fissidens giesenhagenii Broth. ex M.Fleisch.",7.6,80.7,2
"Wrightia R.Br.",7.5,80.4,2
"Ophiorrhiza hispidula Wall. ex G.Don",7.2,80.7,2
"Rhynchospora corymbosa (L.) Britton",6.8,80,2
"Eleusine indica (L.) Gaertn.",6,80.2,2
"Eleusine indica (L.) Gaertn.",7.2,80.6,2
"Eleusine indica (L.) Gaertn.",7.3,80.6,2
"Eleusine indica (L.) Gaertn.",6,80.5,2
"Habenaria crinifera Lindl.",6.7,80.2,2
"Fagraea ceilanica Thunb.",7.4,80.8,2
"Memecylon gracillimum Alston",7.6,80.4,2
"Lygodium flexuosum (L.) Sw.",7.3,80.8,2
"Lygodium flexuosum (L.) Sw.",7,81,2
"Capparis L.",7.6,80.8,2
"Capparis L.",7.3,80.6,2
"Capparis L.",7.1,81.1,2
"Cabomba caroliniana A.Gray",6.6,80.1,2
"Bulbophyllum elliae Rchb.f.",6.8,80.8,2
"Bulbophyllum elliae Rchb.f.",6.9,80.8,2
"Eriocaulon quinquangulare L.",7.7,80.7,2
"Eriocaulon quinquangulare L.",8.9,80.5,2
"Eriocaulon cinereum R.Br.",8.9,80.5,2
"Zoysia matrella (L.) Merr.",8.6,81.2,2
"Monstera deliciosa Liebm.",7,80.8,2
"Rubus leucocarpus Arv.",6.8,80.8,2
"Papillaria semitorta (Müll.Hal.) A.Jaeger",6.8,80.8,2
"Papillaria semitorta (Müll.Hal.) A.Jaeger",7.3,80.8,2
"Breynia retusa (Dennst.) Alston",7.6,80.8,2
"Breynia retusa (Dennst.) Alston",6.8,80.9,2
"Breynia retusa (Dennst.) Alston",7.5,80.7,2
"Breynia retusa (Dennst.) Alston",6.7,80.8,2
"Breynia retusa (Dennst.) Alston",7.3,80.9,2
"Glochidion moonii Thwaites",6.8,80.4,2
"Glochidion moonii Thwaites",7.6,80.7,2
"Cleistanthus pallidus (Thwaites) Müll.Arg.",7,80.4,2
"Cleistanthus pallidus (Thwaites) Müll.Arg.",7.3,80.6,2
"Cleistanthus pallidus (Thwaites) Müll.Arg.",6.5,80.3,2
"Cleistanthus pallidus (Thwaites) Müll.Arg.",8.1,80.7,2
"Cleistanthus pallidus (Thwaites) Müll.Arg.",7.5,80.7,2
"Cleistanthus pallidus (Thwaites) Müll.Arg.",7.6,80.7,2
"Adinandra lasiopetala (Wight) Choisy",6.8,80.6,2
"Chrysophyllum roxburghii G.Don",7.3,80.7,2
"Pavetta indica L.",7,80.4,2
"Metabolos decipiens (Thwaites) Ridsdale",7.4,80.8,2
"Aerva lanata (L.) Juss. ex Schult.",9.4,80.4,2
"Maesa perrottetiana A.DC.",7.4,80.8,2
"Aglaia elaeagnoidea (A.Juss.) Benth.",6.4,81.5,2
"Aglaia elaeagnoidea (A.Juss.) Benth.",7.3,80.6,2
"Hugonia ferruginea Wight & Arn.",6.7,80.4,2
"Scolopia schreberi J.F.Gmel.",6,80.2,2
"Garcinia terpnophylla Thwaites",7.3,80.6,2
"Pleurostylia opposita (Wall.) Alston",6.4,81.5,2
"Pleurostylia opposita (Wall.) Alston",8.1,80.6,2
"Apama siliquosa Lam.",6.8,80,2
"Apama siliquosa Lam.",6.7,80.4,2
"Pisonia aculeata L.",8.6,81.2,2
"Sesamum prostratum Retz.",9.5,80.6,2
"Parthenium hysterophorus L.",9.4,80.4,2
"Hygroryza aristata (Retz.) Nees ex Wight & Arn.",6.2,81.5,2
"Ehretia microphylla Lam.",7.5,80.6,2
"Cleisostomopsis filiformis (Rchb.f.) R.Rice",6.8,80.8,2
"Shirakiopsis indica (Willd.) Esser",6.5,80.3,2
"Sonerila glaberrima Arn.",7.6,80.7,2
"Cheirostylis flabellata (A.Rich.) Wight",6.8,80.8,2
"Oberonia mahaeliyensis Bandara, Lakkana & Ediriweera, 2022",6.8,80.8,2
"Isachne kunthiana var. eligulata Davidse",6.9,80.8,2
"Clerodendrum chinense (Osbeck) Mabb.",7.2,80.6,2
"Sonerila arnottiana Thwaites",6.8,80.8,2
"Bryopsis J.V.F.Lamouroux, 1809",6,80.7,2
"Ulva Linnaeus, 1753",6,80.2,2
"Ulva Linnaeus, 1753",6,80.4,2
"Codium Stackhouse, 1797",6,80.4,2
"Chlorodesmis Harvey & Bailey, 1841",6,80.7,2
"Glochidion nemorale Thwaites",6.7,80.8,2
"Syzygium fergusonii (Trimen) Gamble",6.8,80.5,2
"Lauraceae",7.3,80.6,2
"Capparis moonii Wight",7.5,80.8,2
"Bridelia Willd.",6.2,80.3,2
"Cyperus L.",6.2,80.7,2
"Ficus L.",7.4,80.8,2
"Scrotochloa urceolata (Roxb.) Judz.",6.4,80.5,2
"Riccia L.",7.3,80.5,2
"Cardiospermum L.",7.3,80.6,2
"Cardiospermum L.",8,79.8,2
"Verbenaceae",6,80.5,2
"Asparagus Tourn. ex L.",7.3,80.6,2
"Emilia Cass.",6.3,80.6,2
"Myristica Gronov.",7.3,80.8,2
"Vinca L.",6.9,80.8,2
"Clitoria L.",7.3,80.6,2
"Euphorbiaceae",6.7,81.4,2
"Euphorbiaceae",6.4,80.4,2
"Euphorbiaceae",7.3,80.6,2
"Artocarpus J.R.Forst. & G.Forst.",7,80.5,2
"Campylopus Brid.",7,80.8,2
"Campylopus Brid.",7,80.6,2
"Brachymenium nepalense Hook.",7,80.8,2
"Macromitrium microstomum (Hook. & Grev.) Schwägr.",7.3,80.8,2
"Sapotaceae",7,80.4,2
"Campylopus ericoides (Griff.) A.Jaeger",7,80.8,2
"Papillaria crocea (Hampe) A.Jaeger",7.3,80.8,2
"Papillaria crocea (Hampe) A.Jaeger",7.4,80.8,2
"Memecylon rostratum Thwaites",7.6,80.7,2
"Acanthophora spicifera (M.Vahl) Børgesen",6.5,80,2
"Acanthophora spicifera (M.Vahl) Børgesen",6,80.4,2
"Acanthophora spicifera (M.Vahl) Børgesen",8.2,79.7,2
"Chondria armata (Kütz.) Okamura, 1907",6,80.4,2
"Chondria armata (Kütz.) Okamura, 1907",6.5,80,2
"Freycinetia pycnophylla Solms",7.6,80.7,2
"Syzygium turbinatum Alston",7.4,80.8,2
"Codium arabicum Kuetz.",6,80.2,2
"Codium arabicum Kuetz.",5.9,80.5,2
"Codium arabicum Kuetz.",6,80.7,2
"Cheilosporum (Decaisne) Zanardini, 1844",6,80.2,2
"Caulerpa racemosa var. clavifera (C.Agardh) Weber Bosse",6,80.2,2
"Ahnfeltiopsis pygmaea (J.Agardh) P.C.Silva & DeCew, 1992",8.2,79.8,2
"Laurencia J.V.F.Lamouroux, 1813",7.9,80.8,2
"Caloglossa leprieurii (Mont.) G.Martens",6.9,79.8,2
"Caulerpa verticillata J.Agardh",5.9,80.5,2
"Caulerpa verticillata J.Agardh",6.1,80.2,2
"Gracilaria corticata (J.Agardh) J.Agardh",6,80.2,2
"Gracilaria corticata (J.Agardh) J.Agardh",6.9,79.8,2
"Gracilaria corticata (J.Agardh) J.Agardh",6.5,80,2
"Gracilaria corticata (J.Agardh) J.Agardh",6.1,80.1,2
"Hypnea hamulosa (Esper) Lamouroux, 1813",6,80.2,2
"Spiranthes flexuosa (Sm.) Lindl.",6.8,80.8,2
"Cryptocoryne wendtii de Wit",8,80.7,2
"Dipterocarpus hispidus Thwaites",7.9,80.8,2
"Dipterocarpus hispidus Thwaites",7,80.4,2
"Osbeckia rheedei Gardner ex Thwaites",7.6,80.7,2
"Carex taprobanensis T.Koyama",7.6,80.4,2
"Macromitrium ceylanicum Mitt.",6.9,81.1,2
"Drypetes zeylanica (Thwaites) Hurus.",8,80.8,2
"Mallotus tetracoccus (Roxb.) Kurz",7.5,80.7,2
"Mallotus tetracoccus (Roxb.) Kurz",6.8,81,2
"Cyanotis villosa (Spreng.) Schult. & Schult.f.",7.6,80.7,2
"Asplenium falcatum Lam.",7.5,80.4,2
"Asplenium falcatum Lam.",7.6,80.8,2
"Asplenium falcatum Lam.",7.8,80.7,2
"Asplenium falcatum Lam.",7,81.3,2
"Pterobryopsis frondosa (Mitt.) M.Fleisch.",6.9,80.8,2
"Pterobryopsis frondosa (Mitt.) M.Fleisch.",7.3,80.8,2
"Sorghum bicolor (L.) Moench",7.3,81,2
"Sorghum bicolor (L.) Moench",8.2,80.1,2
"Sorghum bicolor (L.) Moench",8,79.8,2
"Sorghum bicolor (L.) Moench",7.3,80.1,2
"Sorghum bicolor (L.) Moench",8,80.5,2
"Sorghum bicolor (L.) Moench",8,80.8,2
"Sorghum bicolor (L.) Moench",8.5,80.8,2
"Sorghum bicolor (L.) Moench",8.4,80.7,2
"Sorghum bicolor (L.) Moench",8.4,80.6,2
"Sorghum bicolor (L.) Moench",7.7,80.2,2
"Rhynchosia cana (Willd.) DC.",7.3,80.7,2
"Oryza eichingeri Peter",7.9,80.7,2
"Oryza eichingeri Peter",7.6,80.5,2
"Oryza rhizomatis D.A.Vaughan",6.5,80.7,2
"Oryza rhizomatis D.A.Vaughan",7.6,80.5,2
"Oryza L.",7.5,79.9,2
"Oryza L.",7.9,79.8,2
"Oryza L.",7.4,79.8,2
"Oryza L.",7.4,79.9,2
"Oryza L.",6.7,81,2
"Oryza L.",7.6,81.7,2
"Oryza L.",6.2,81.5,2
"Oryza L.",7.3,79.8,2
"Senecio ludens C.B.Clarke",7.4,80.8,2
"Senecio ludens C.B.Clarke",6.8,80.8,2
"Valeriana moonii Arn. ex C.B.Clarke",6.8,80.8,2
"Aporosa cardiosperma (Gaertn.) Merr.",7.3,80.7,2
"Lobelia walkeri (C.B.Clarke) W.J.de Wilde & Duyfjes",6.8,80.8,2
"Utricularia scandens Benj.",7.5,80.8,2
"Begonia malabarica Lam.",7.5,80.7,2
"Begonia malabarica Lam.",7.4,80.8,2
"Ischaemum muticum L.",6,80.2,2
"Ischaemum muticum L.",8.6,81.2,2
"Xyris pauciflora Willd.",8.3,80.1,2
"Pityrogramma calomelanos (L.) Link",7.3,80.6,2
"Hypochaeris radicata L.",6.8,80.8,2
"Hypochaeris radicata L.",7.3,80.6,2
"Ottelia alismoides (L.) Pers.",7.9,80.7,2
"Alchemilla indica Gardner",6.8,80.8,2
"Trichosanthes tubiflora (Wight & Arn.) H.J.de Boer",7.7,80.7,2
"Rivea hypocrateriformis (Desr.) Choisy",9.7,79.9,2
"Swertia zeylanica (Griseb.) Walker ex Clarke",6.8,80.8,2
"Calymmodon glabrescens Copel.",7.4,80.8,2
"Huperzia phlegmaria (L.) Rothm.",6.7,80.4,2
"Microlepia strigosa (Thunb.) C.Presl",7.2,80.7,2
"Pteris L.",6.8,80.8,2
"Pteris L.",7,81,2
"Pteris L.",7.3,80.8,2
"Pteris L.",7.5,80.7,2
"Pteris L.",6.6,80.7,2
"Trigonospora ciliata (Wall. ex Benth.) Holttum",6.4,80.4,2
"Murdannia dimorphoides Faden",8.3,80.1,2
"Metroxylon sagu Rottb.",7.3,80.6,2
"Bauhinia variegata L.",7.3,80.6,2
"Dioscorea alata L.",7.8,80.5,2
"Dioscorea alata L.",7.9,80.3,2
"Dioscorea alata L.",7.3,80,2
"Dioscorea alata L.",6.9,80.4,2
"Dioscorea alata L.",6.8,81,2
"Dioscorea alata L.",7.8,80.2,2
"Dioscorea alata L.",6.1,80.1,2
"Dioscorea alata L.",6.3,80.2,2
"Dioscorea alata L.",6,80.6,2
"Dioscorea alata L.",7.6,80.7,2
"Dioscorea alata L.",7.2,79.9,2
"Dioscorea alata L.",6.7,80.1,2
"Dioscorea alata L.",7.5,80.5,2
"Dioscorea alata L.",7.5,80.6,2
"Dioscorea alata L.",7.1,79.9,2
"Dioscorea alata L.",9,80.6,2
"Dioscorea alata L.",6.4,80,2
"Dioscorea alata L.",6.4,80.1,2
"Dioscorea alata L.",7.7,80.7,2
"Dioscorea alata L.",7.6,80.3,2
"Dioscorea alata L.",6.8,80.1,2
"Dioscorea alata L.",7.4,80.6,2
"Dioscorea alata L.",7.7,80.2,2
"Dioscorea alata L.",7.7,80.5,2
"Pteridium aquilinum subsp. wightianum (Wall. ex J.Agardh) W.C.Shieh",6.8,80.8,2
"Timonius flavescens (Jacq.) Baker",6.8,80.6,2
"Lobelia nicotianifolia Roth ex Schult.",6.8,81,2
"Porella madagascariensis (Nees & Mont.) Trevis.",7.7,80.7,2
"Lejeunea flava (Sw.) Nees",7.7,80.7,2
"Halimeda distorta (Yamada) Hillis-Colinvaux, 1968",8.2,79.8,2
"Caulerpa J.V.F.Lamouroux, 1809",6,80.7,2
"Caulerpa J.V.F.Lamouroux, 1809",6.5,80,2
"Caulerpa J.V.F.Lamouroux, 1809",6,80.4,2
"Caulerpa lentillifera J.Ag.",8.2,79.8,2
"Caulerpa lentillifera J.Ag.",6,80.4,2
"Caulerpa lentillifera J.Ag.",6,80.7,2
"Caulerpa peltata J.V.Lamour.",6,80.7,2
"Caulerpa peltata J.V.Lamour.",8.2,79.8,2
"Avrainvillea Decaisne, 1842",8.2,79.8,2
"Ascidium A.Braun, 1850",7.9,80.7,2
"Octarrhena parvula Thwaites",6.8,80.5,2
"Polyalthia korinti (Dunal) Thwaites",8.4,80,2
"Heliotropium curassavicum L.",9.6,80,2
"Eriocaulon sexangulare L.",7.3,79.9,2
"Ctenitis C.Chr. ex C.Chr.",6.3,80.4,2
"Ctenitis C.Chr. ex C.Chr.",7,81,2
"Cinnamomum dubium Nees",6.4,80.5,2
"Cinnamomum dubium Nees",6,80.2,2
"Cinnamomum dubium Nees",7,80.4,2
"Persea macrantha (Nees) Kosterm.",7.9,80.8,2
"Cyathea gigantea (Wall. ex Hook.) Holttum",6.8,80.9,2
"Cinnamomum cappara-coronde Blume",6.8,80.6,2
"Acacia nilotica (L.) Willd. ex Delile",7.9,80,2
"Ophioderma pendulum (L.) C.Presl",6.7,80.6,2
"Isoetes coromandelina L.fil.",8.9,80.5,2
"Laurencia scoparia J.Agardh",6.9,79.8,2
"Laurencia concinna Mont., 1842",6.9,79.8,2
"Cajanus albicans (Wight & Arn.) Maesen",7.2,80.8,2
"Cajanus cajan (L.) Millsp.",8.4,80.7,2
"Hymenasplenium cheilosorum (Kunze ex Mett.) Tagawa",7.2,80.7,2
"Exacum pallidum (Trimen) Klack.",6.8,80.8,2
"Epiphyllum oxypetalum (DC.) Haw.",7.1,80.1,2
"Psilotum nudum (L.) P.Beauv.",7.1,80.8,2
"Psilotum nudum (L.) P.Beauv.",6.9,80.8,2
"Psilotum nudum (L.) P.Beauv.",7.6,80.7,2
"Dennstaedtiaceae",6.7,80.6,2
"Cleistanthus collinus (Roxb.) Benth. ex Hook.f.",7.3,80.6,2
"Ochna serrulata (Hochst.) Walp.",6.4,80.4,2
"Suaeda monoica Forssk.",8.1,79.9,2
"Acroporium Mitt.",6.9,80.8,2
"Gelidium variabile Grev. ex J.Agardh",6.9,79.8,2
"Leveillea jungermannioides (Hering & G.Martens) Harvey, 1855",6.9,79.8,2
"Scinaia Bivona-Bernardi, 1822",6.5,80,2
"Polysiphonia Greville, 1823",6,80.7,2
"Polysiphonia Greville, 1823",6.5,80,2
"Vittaria J.E.Sm.",7,80.8,2
"Halymenia durvillei Bory, 1828",6,80.4,2
"Halymenia durvillei Bory, 1828",8.2,79.8,2
"Grateloupia C.Agardh, 1822",8.2,79.8,2
"Grateloupia C.Agardh, 1822",6,80.4,2
"Gelidiopsis repens (Kütz.) Weber-van Bosse",5.9,80.5,2
"Carpopeltis maillardii (Mont. & Millardet) Chiang, 1970",6,80.4,2
"Polyopes ligulatus (Harvey ex Kütz.) De Toni, 1905",6,80.4,2
"Portieria tripinnata (Hering) Farrell, Critchley & Aken",6,80.7,2
"Hypnea pannosa J.Agardh, 1847",5.9,80.5,2
"Dicurella Harvey, 1847",6,80.4,2
"Gelidiales",5.9,80.5,2
"Jania J.V.F.Lamouroux, 1812",6.5,80,2
"Rhodomelaceae",8.2,79.8,2
"Falkenbergia hillebrandii (Bornet) Falkenb.",5.9,80.5,2
"Gigartina Stackhouse, 1809",6,80.4,2
"Gracilaria fergusonii J.Agardh, 1901",6,80.4,2
"Ulva rigida C.Agardh",6,80.7,2
"Ulva pertusa Kjellman",6,80.7,2
"Cladophora coelothrix Kütz.",8.2,79.7,2
"Cladophora coelothrix Kütz.",6,80.7,2
"Chaetomorpha crassa (C.Agardh) Kütz.",6,80.4,2
"Chaetomorpha Kützing, 1845",6,80.4,2
"Ahnfeltiopsis P.C.Silva & T.C.DeCew, 1992",8.2,79.8,2
"Kallymenia J.Agardh, 1842",6,80.4,2
"Sarcodia J.Agardh, 1852",6,80.7,2
"Tylotus J.Agardh, 1876",6,80.4,2
"Carpopeltis rigida (Harvey ex J.Agardh) F.Schmitz, 1895",6,80.4,2
"Asparagopsis taxiformis (Delile) Trevis.",5.9,80.5,2
"Asparagopsis taxiformis (Delile) Trevis.",6,80.7,2
"Ernodesmis verticillata (Kütz.) Børgesen",6,80.7,2
"Valoniopsis Børgesen, 1934",6,80.4,2
"Gracilaria salicornia (C.Agardh) E.Y.Dawson, 1954",6.5,80,2
"Ceramium Roth, 1797",6,80.4,2
"Botryocladia (J.G.Agardh) Kylin, 1931",6,80.4,2
"Laurencia obtusa (Huds.) J.V.Lamour.",6.5,80,2
"Enteromorpha Link, 1820",6,80.4,2
"Chondracanthus acicularis (Roth) Fredericq",6,80.4,2
"Cladophora vagabunda (L.) C.Hoek",6.5,80,2
"Ernodesmis Børgesen, 1912",6.5,80,2
"Gelidiopsis F.Schmitz, 1895",6,80.4,2
"Gelidiopsis F.Schmitz, 1895",6,80.7,2
"Ceramiaceae",8.2,79.8,2
"Eugenia fulva Thwaites",7.3,80.6,2
"Pavonia fryxelliana Fosberg & Sachet",7.3,81.7,2
"Pavonia fryxelliana Fosberg & Sachet",7.3,81.6,2
"Microtropis wallichiana Wight ex Thwaites",6.1,81.1,2
"Calophyllum trapezifolium Thwaites",7.9,80.8,2
"Stemonoporus cordifolius (Thwaites) Alston",6.8,80.7,2
"Eugenia haputalense Kosterm.",6.8,81,2
"Hopea jucunda Thwaites",7.9,80.8,2
"Stemonoporus acuminatus (Thwaites) Bedd.",7.9,80.8,2
"Ixora jucunda Thwaites",6.7,80.4,2
"Campnosperma zeylanicum Thwaites",6.8,80.5,2
"Campnosperma zeylanicum Thwaites",6.3,80.4,2
"Shorea carapae P.S.Ashton",7.9,80.8,2
"Podadenia sapida Thwaites",7.3,80.6,2
"Podadenia sapida Thwaites",6.4,80.4,2
"Podadenia sapida Thwaites",7.6,80.7,2
"Antidesma pyrifolium Müll.Arg.",6.4,80.7,2
"Antidesma pyrifolium Müll.Arg.",6.5,80.6,2
"Antidesma pyrifolium Müll.Arg.",6.8,80.5,2
"Antidesma pyrifolium Müll.Arg.",6.7,80.8,2
"Antidesma pyrifolium Müll.Arg.",7.3,80.9,2
"Chaetocarpus coriaceus Thwaites",6.3,80.4,2
"Cleistanthus ferrugineus (Thwaites) Müll.Arg.",6.5,80.3,2
"Cleistanthus ferrugineus (Thwaites) Müll.Arg.",7,80.4,2
"Cleistanthus ferrugineus (Thwaites) Müll.Arg.",7.6,80.7,2
"Cleistanthus acuminatus (Thwaites) Müll.Arg.",7.6,80.7,2
"Stemonoporus nitidus Thwaites",7.9,80.8,2
"Stemonoporus nitidus Thwaites",6.4,80.4,2
"Stemonoporus nitidus Thwaites",6.8,80.5,2
"Trigonostemon diplopetalus Thwaites",8,80.8,2
"Trigonostemon diplopetalus Thwaites",7.6,80.7,2
"Cleistanthus patulus (Roxb.) Müll.Arg.",7.3,80.6,2
"Cleistanthus patulus (Roxb.) Müll.Arg.",7.6,80.7,2
"Digitaria Haller",6.7,81.1,2
"Digitaria Haller",7.3,80.7,2
"Carex leucantha Arn. ex Boott",7.5,80.7,2
"Bryophyta",7,80.6,2
"Garcinia L.",6.6,80.4,2
"Garcinia L.",6.7,80.4,2
"Eugenia mabaeoides Wight",7.8,80.8,2
"Mallotus resinosus (Blanco) Merr.",7.4,80.5,2
"Paspalum scrobiculatum L.",6.9,79.9,2
"Paspalum scrobiculatum L.",6.9,80.9,2
"Braunfelsia edentula (Mitt.) Wijk & Margad.",6.9,80.8,2
"Braunfelsia edentula (Mitt.) Wijk & Margad.",7,80.8,2
"Leucoloma amoenevirens Mitt.",7.3,80.8,2
"Leucoloma amoenevirens Mitt.",7.2,80.6,2
"Macromitrium minutum Mitt.",7.3,80.8,2
"Digitaria abyssinica (Hochst. ex A.Rich.) Stapf",7.1,81.1,2
"Digitaria abyssinica (Hochst. ex A.Rich.) Stapf",7,80.8,2
"Arthraxon hispidus var. hispidus",7,80.8,2
"Hyophila involuta (Hook.) A.Jaeger",7.3,80.8,2
"Hyophila involuta (Hook.) A.Jaeger",7.4,80.8,2
"Papillaria fuscescens (Hook.) A.Jaeger",7.3,80.8,2
"Tayloria subglabra (Griff.) Mitt.",7.3,80.8,2
"Macromitrium sulcatum (Hook.) Brid.",6.8,80.7,2
"Macromitrium sulcatum (Hook.) Brid.",7.4,80.7,2
"Macromitrium sulcatum (Hook.) Brid.",7,80.8,2
"Macromitrium sulcatum (Hook.) Brid.",6.9,80.8,2
"Stereophyllum wightii (Mitt.) A.Jaeger",7.3,80.8,2
"Schlotheimia grevilleana Mitt.",7.3,80.8,2
"Diphyscium fasciculatum Mitt.",6.8,80.4,2
"Trematodon longicollis Michx.",7.3,80.8,2
"Barbula indica Brid. ex Broth.",7.3,80.8,2
"Pseudoleskea Schimp.",7.3,80.8,2
"Warburgiella leptocarpos (Schwägr.) M.Fleisch.",7.3,80.8,2
"Calymperes nietneri Müll.Hal.",7.3,80.8,2
"Distichophyllum mucronatum Thwaites & Mitt.",6.9,80.8,2
"Philonotis hastata (Duby) Wijk & Margad.",7.3,80.8,2
"Meiothecium microcarpum (Harv.) Mitt.",7.3,80.8,2
"Weissia controversa Hedw.",7.3,80.8,2
"Rhodobryum giganteum (Schwägr.) Paris",7.3,80.8,2
"Brachymenium exile (Dozy & Molk.) Bosch & Sande Lac.",6.9,80.8,2
"Distichophyllum succulentum (Mitt.) Broth.",7.3,80.8,2
"Pterobryopsis tumida (Dicks. ex Hook.) Dixon",7.3,80.8,2
"Acroporium turgidum Mitt.",7.3,80.8,2
"Barbella amoena M.Fleisch. ex Broth.",6.9,80.8,2
"Barbella amoena M.Fleisch. ex Broth.",7.3,80.8,2
"Orthorrhynchium cymbifolium Müll.Hal.",7.3,80.8,2
"Thyridium fasciculatum (Hook. & Grev.) Mitt.",7.3,80.8,2
"Neckeropsis lepineana (Mont.) M.Fleisch.",7.3,80.8,2
"Calyptothecium wightii (Mitt.) M.Fleisch.",7.3,80.8,2
"Acroporium oxyporon (Bosch & Sande Lac.) M.Fleisch.",7.3,80.8,2
"Leucoloma molle var. longipilum M.Fleisch.",7.3,80.8,2
"Meteoriopsis squarrosa (Hook. ex Harv.) M.Fleisch.",7.3,80.8,2
"Sematophyllum capilliferum Thwaites & Mitt.",7.3,80.8,2
"Brachymenium bryoides Hook. ex Schwägr.",7.3,80.8,2
"Phyllanthus zeylanicus Müll.Arg.",7.6,80.7,2
"Glycosmis pentaphylla (Retz.) DC.",7,80.4,2
"Garcinia echinocarpa Thwaites",6.8,80.6,2
"Aristolochia bracteolata Lam.",8.6,81.2,2
"Symplocos Jacq.",7,80.5,2
"Paspalidium flavidum (Retz.) A.Camus",6.7,81.1,2
"Macromitrium angulosum Thwaites & Mitt.",7.8,80.8,2
"Plagiomnium rhynchophorum (Harv.) T.J.Kop.",7.3,80.8,2
"Trachypus bicolor Reinw. & Hornsch.",7.3,80.8,2
"Taxithelium nepalense (Schwägr.) Broth.",7.3,80.8,2
"Bartramidula roylei (Hook.f.) Bruch & Schimp.",7.3,80.8,2
"Rhynchostegium herbaceum (Mitt.) A.Jaeger",7.3,80.8,2
"Calymperes hampei Dozy & Molk.",7.3,80.8,2
"Distichophyllum mittenii Bosch & Sande Lac.",7.3,80.8,2
"Pterobryopsis aurantia (Müll.Hal.) M.Fleisch.",7.3,80.8,2
"Philonotis angusta Mitt.",7.3,80.8,2
"Sinskea flammea subsp. rufifolioides (Broth.) Redf. & B.C.Tan",7.3,80.8,2
"Adenia Forssk.",6.6,80.7,2
"Diphyscium mucronifolium Mitt.",6.9,80.8,2
"Philonotis heterophylla Mitt.",7.3,80.8,2
"Oxyrrhynchium pumilum (Wilson) Loeske",7.3,80.8,2
"Pyrrhobryum spiniforme (Hedw.) Mitt.",7.3,80.8,2
"Racopilum schmidii (Müll.Hal.) Mitt.",7.3,80.8,2
"Neckera himalayana Mitt.",7.3,80.8,2
"Rhaphidostichum ramulinum (Thwaites & Mitt.) Broth.",7.3,80.8,2
"Rubus buergeri Miq.",6.4,80.4,2
